rank,journal,score
146,Regional Science and Urban Economics,139.04
147,The Journal of Economic History,139.84
148,Economic Policy Review,140.36
149,Journal of Law and Economics,140.39
150,Games and Economic Behavior,140.71
151,American Political Science Review,141.25
152,The Review of Asset Pricing Studies,141.83
153,IZA Journal of Labor Policy,143.07
154,Critical Finance Review,144.37
155,Oxford Economic Papers,145.35
156,Regional Studies,145.39
157,Research in International Business and Finance,145.39
158,Marketing Science,146.97
159,Journal of African Business,148.12
160,Journal of Economics & Management Strategy,148.34
161,Research in Economics,149.51
162,Environmental & Resource Economics,150.62
163,Journal of Policy Analysis and Management,152.81
164,ifo DICE Report,153
165,Financial Management,155.03
166,International Finance,155.92
167,Proceedings of the National Academy of Sciences,157.98
168,Economic Bulletin Articles,159.52
169,Nature Sustainability,161.45
170,Journal of Financial Econometrics,161.53
171,Economic Analysis and Policy,161.7
172,International Journal of Industrial Organization,162.65
173,Journal of the Royal Statistical Society Series B,163.25
174,Industrial and Corporate Change,163.51
175,International Business Review,164.48
176,Journal of Empirical Finance,164.71
177,Mathematical Finance,165.61
178,Transportation Research Part A: Policy and Practice,167.39
179,Journal of Management Studies,168.7
180,Journal of Economic Psychology,169.18
181,Production and Operations Management,169.5
182,German Economic Review,170.42
183,Annals of Economics and Finance,171
184,Journal of Political Economy Microeconomics,172.29
185,Explorations in Economic History,172.49
186,Journal of Behavioral and Experimental Finance,172.57
187,Information Economics and Policy,172.84
188,Emerging Markets Review,173.7
189,Land Use Policy,174.88
190,Quantitative Finance,175.53
191,Economic Geography,175.62
192,European Financial Management,175.7
193,International Journal of Production Research,175.96
194,Industrial Relations: A Journal of Economy and Society,177.09
195,International Review of Economics & Finance,179.38
196,Journal of Retailing,180
197,Economic Development and Cultural Change,181.12
198,Health Economics,182.12
199,Transport Reviews,182.84
200,Review of Economics of the Household,183.42
201,Journal of Financial Markets,184.02
202,Transportation Research Part B: Methodological,184.4
203,Resource and Energy Economics,184.5
204,The World Economy,185.75
205,Journal of the Economic Science Association,185.76
206,"The Journal of Law, Economics, and Organization",187.31
207,Pacific-Basin Finance Journal,188.66
208,Applied Economics,188.7
209,Technovation,190.54
210,Journal of Consumer Research,191.55
211,Omega,191.6
212,The North American Journal of Economics and Finance,192.22
213,Journal of Econometric Methods,192.3
214,Finance and Stochastics,192.67
215,International Tax and Public Finance,193.31
216,Journal of Housing Economics,193.71
217,National Tax Journal,194.29
218,Macroeconomic Dynamics,194.41
219,IZA Journal of Development and Migration,196.57
220,Wiley Interdisciplinary Reviews: Climate Change,197.89
221,Journal of Regional Science,198.09
222,International Review of Environmental and Resource Economics,200.04
223,"Journal of Law, Finance, and Accounting",202.62
224,"Resources, Conservation & Recycling",203.1
225,Business Horizons,203.95
226,European Review of Agricultural Economics,204.19
227,The Quarterly Review of Economics and Finance,205.31
228,Climate Policy,211.1
229,Journal of Economics and Business,211.54
230,Structural Change and Economic Dynamics,211.94
231,Organization Science,212.97
232,Review of World Economics,213.45
233,Quarterly Journal of Finance,213.46
234,Journal of Industrial Economics,213.7
235,CESifo Economic Studies,214.04
236,Journal of the Japanese and International Economies,214.3
237,Sustainability,214.31
238,Review of International Economics,214.45
239,JODE - Journal of Demographic Economics,214.78
240,Economic Theory,215.02
241,Journal of Development Studies,216.68
242,Journal of Commodity Markets,216.91
243,Econometric Reviews,217.24
244,Environmental Science & Policy,218.7
245,The Journal of Technology Transfer,220.29
246,Nature Communications,222.81
247,Economía Journal,223.88
248,"Review, Federal Reserve Bank of St. Louis",227.92
249,Emerging Markets Finance and Trade,227.92
250,Transportation Research Part E: Logistics and Transportation Review,228.07
251,Journal of Retailing and Consumer Services,228.36
252,International Organization,228.63
253,Agricultural Economics,229.17
254,"Cambridge Journal of Regions, Economy and Society",230.28
255,Technology in Society,230.43
256,Telecommunications Policy,230.5
257,Cliometrica,230.94
258,Swiss Journal of Economics and Statistics,232.52
259,Journal of Policy Modeling,233.08
260,Papers in Regional Science,236.47
261,Real Estate Economics,237.61
262,Behavioural Public Policy,238.2
263,Open Economies Review,239.61
264,Social Indicators Research,243.93
265,Journal of Agricultural Economics,244.02
266,Economic Systems,244.8
267,The Journal of the Economics of Ageing,245.13
268,Financial Innovation,245.55
269,Business Research,245.79
270,Manufacturing & Service Operations Management,246.87
271,Sustainable Development,246.87
272,Journal of Pension Economics and Finance,246.95
273,Corporate Social Responsibility and Environmental Management,247.94
274,Environment and Development Economics,249.02
275,Industry and Innovation,250.86
276,Australasian Marketing Journal,250.89
277,Research Bulletin,250.92
278,Review of Corporate Finance,253.16
279,Cambridge Journal of Economics,255.57
280,SERIEs: Journal of the Spanish Economic Association,255.73
281,Southern Economic Journal,256.39
282,Journal of Evolutionary Economics,257.52
283,Journal of Financial Services Research,258.48
284,Quarterly Journal of Political Science,258.75
285,Journal of Risk & Insurance,258.86
286,International Productivity Monitor,260.55
287,The European Journal of Finance,260.74
288,International Journal of Research in Marketing,260.94
289,Journal of Family Business Strategy,262.87
290,Journal of Behavioral and Experimental Economics,262.97
291,Journal of Transport Geography,263.53
292,Quantitative Marketing and Economics,264.02
293,Economics of Innovation and New Technology,264.5
294,Econometrics,264.83
295,Transport Policy,265.21
296,FRBSF Economic Letter,265.91
297,Physica A: Statistical Mechanics and its Applications,266.34
298,Journal of Informetrics,268.1
299,Journal for Labour Market Research,268.21
300,PLOS ONE,268.48
